SourceNode	TargetNode	Weight	SourceLayer	TargetLayer
136	67	1	Layer2	Layer2
137	110	1	Layer2	Layer2
138	67	1	Layer2	Layer2
139	12	1	Layer2	Layer2
140	35	1	Layer2	Layer2
141	15	1	Layer2	Layer2
142	1	1	Layer2	Layer2
143	37	1	Layer2	Layer2
145	25	1	Layer2	Layer2
146	46	1	Layer2	Layer2
147	20	1	Layer2	Layer2
148	39	1	Layer2	Layer2
149	5	1	Layer2	Layer2
150	23	1	Layer2	Layer2
151	78	1	Layer2	Layer2
152	85	1	Layer2	Layer2
153	51	1	Layer2	Layer2
154	43	1	Layer2	Layer2
155	72	1	Layer2	Layer2
156	5	1	Layer2	Layer2
158	71	1	Layer2	Layer2
159	156	1	Layer2	Layer2
160	43	1	Layer2	Layer2
161	156	1	Layer2	Layer2
162	5	1	Layer2	Layer2
163	132	1	Layer2	Layer2
164	132	1	Layer2	Layer2
165	155	1	Layer2	Layer2
166	1	1	Layer2	Layer2
167	96	1	Layer2	Layer2
168	25	1	Layer2	Layer2
169	83	1	Layer2	Layer2
171	74	1	Layer2	Layer2
172	12	1	Layer2	Layer2
173	78	1	Layer2	Layer2
174	1	1	Layer2	Layer2
175	145	1	Layer2	Layer2
176	83	1	Layer2	Layer2
177	29	1	Layer2	Layer2
178	135	1	Layer2	Layer2
179	110	1	Layer2	Layer2
180	26	1	Layer2	Layer2
181	20	1	Layer2	Layer2
182	5	1	Layer2	Layer2
184	62	1	Layer2	Layer2
185	62	1	Layer2	Layer2
186	132	1	Layer2	Layer2
187	5	1	Layer2	Layer2
188	1	1	Layer2	Layer2
189	5	1	Layer2	Layer2
190	37	1	Layer2	Layer2
191	13	1	Layer2	Layer2
192	118	1	Layer2	Layer2
193	34	1	Layer2	Layer2
194	186	1	Layer2	Layer2
195	5	1	Layer2	Layer2
197	74	1	Layer2	Layer2
198	58	1	Layer2	Layer2
199	39	1	Layer2	Layer2
200	86	1	Layer2	Layer2
201	4	1	Layer2	Layer2
202	66	1	Layer2	Layer2
203	1	1	Layer2	Layer2
204	110	1	Layer2	Layer2
205	5	1	Layer2	Layer2
206	135	1	Layer2	Layer2
207	5	1	Layer2	Layer2
208	3	1	Layer2	Layer2
210	1	1	Layer2	Layer2
211	157	1	Layer2	Layer2
212	5	1	Layer2	Layer2
213	163	1	Layer2	Layer2
214	49	1	Layer2	Layer2
215	35	1	Layer2	Layer2
216	136	1	Layer2	Layer2
217	14	1	Layer2	Layer2
218	149	1	Layer2	Layer2
219	192	1	Layer2	Layer2
220	198	1	Layer2	Layer2
221	59	1	Layer2	Layer2
223	22	1	Layer2	Layer2
224	80	1	Layer2	Layer2
225	20	1	Layer2	Layer2
226	175	1	Layer2	Layer2
227	169	1	Layer2	Layer2
228	1	1	Layer2	Layer2
229	48	1	Layer2	Layer2
230	73	1	Layer2	Layer2
231	35	1	Layer2	Layer2
232	5	1	Layer2	Layer2
233	110	1	Layer2	Layer2
234	41	1	Layer2	Layer2
236	223	1	Layer2	Layer2
237	5	1	Layer2	Layer2
238	35	1	Layer2	Layer2
239	71	1	Layer2	Layer2
240	1	1	Layer2	Layer2
241	234	1	Layer2	Layer2
242	83	1	Layer2	Layer2
243	5	1	Layer2	Layer2
244	1	1	Layer2	Layer2
245	223	1	Layer2	Layer2
246	222	1	Layer2	Layer2
247	76	1	Layer2	Layer2
249	112	1	Layer2	Layer2
250	159	1	Layer2	Layer2
251	3	1	Layer2	Layer2
252	5	1	Layer2	Layer2
253	34	1	Layer2	Layer2
254	96	1	Layer2	Layer2
255	117	1	Layer2	Layer2
256	16	1	Layer2	Layer2
257	208	1	Layer2	Layer2
258	1	1	Layer2	Layer2
259	25	1	Layer2	Layer2
260	40	1	Layer2	Layer2
262	1	1	Layer2	Layer2
263	12	1	Layer2	Layer2
264	108	1	Layer2	Layer2
265	70	1	Layer2	Layer2
266	108	1	Layer2	Layer2
267	188	1	Layer2	Layer2
268	16	1	Layer2	Layer2
269	8	1	Layer2	Layer2
270	71	1	Layer2	Layer2
271	228	1	Layer2	Layer2
272	157	1	Layer2	Layer2
273	98	1	Layer2	Layer2
275	1	1	Layer2	Layer2
276	13	1	Layer2	Layer2
277	85	1	Layer2	Layer2
278	49	1	Layer2	Layer2
279	88	1	Layer2	Layer2
280	1	1	Layer2	Layer2
281	133	1	Layer2	Layer2
282	14	1	Layer2	Layer2
283	14	1	Layer2	Layer2
284	46	1	Layer2	Layer2
285	196	1	Layer2	Layer2
286	171	1	Layer2	Layer2
288	268	1	Layer2	Layer2
289	5	1	Layer2	Layer2
290	155	1	Layer2	Layer2
291	1	1	Layer2	Layer2
292	260	1	Layer2	Layer2
293	55	1	Layer2	Layer2
294	1	1	Layer2	Layer2
295	62	1	Layer2	Layer2
296	129	1	Layer2	Layer2
297	97	1	Layer2	Layer2
298	163	1	Layer2	Layer2
299	50	1	Layer2	Layer2
1	2	1	Layer3	Layer3
2	3	1	Layer3	Layer3
3	4	1	Layer3	Layer3
4	5	1	Layer3	Layer3
5	6	1	Layer3	Layer3
6	7	1	Layer3	Layer3
7	8	1	Layer3	Layer3
9	24	1	Layer3	Layer3
9	10	1	Layer3	Layer3
10	11	1	Layer3	Layer3
11	12	1	Layer3	Layer3
12	13	1	Layer3	Layer3
14	15	1	Layer3	Layer3
15	16	1	Layer3	Layer3
16	17	1	Layer3	Layer3
17	18	1	Layer3	Layer3
18	19	1	Layer3	Layer3
19	20	1	Layer3	Layer3
20	21	1	Layer3	Layer3
22	125	1	Layer3	Layer3
22	23	1	Layer3	Layer3
23	24	1	Layer3	Layer3
24	25	1	Layer3	Layer3
25	26	1	Layer3	Layer3
27	28	1	Layer3	Layer3
28	29	1	Layer3	Layer3
29	30	1	Layer3	Layer3
30	31	1	Layer3	Layer3
31	32	1	Layer3	Layer3
32	33	1	Layer3	Layer3
33	34	1	Layer3	Layer3
34	35	1	Layer3	Layer3
35	36	1	Layer3	Layer3
36	37	1	Layer3	Layer3
37	38	1	Layer3	Layer3
38	39	1	Layer3	Layer3
40	41	1	Layer3	Layer3
41	42	1	Layer3	Layer3
42	43	1	Layer3	Layer3
43	44	1	Layer3	Layer3
44	45	1	Layer3	Layer3
45	46	1	Layer3	Layer3
46	47	1	Layer3	Layer3
47	48	1	Layer3	Layer3
48	49	1	Layer3	Layer3
49	50	1	Layer3	Layer3
50	51	1	Layer3	Layer3
52	137	1	Layer3	Layer3
53	54	1	Layer3	Layer3
54	55	1	Layer3	Layer3
55	56	1	Layer3	Layer3
56	57	1	Layer3	Layer3
57	58	1	Layer3	Layer3
58	59	1	Layer3	Layer3
59	60	1	Layer3	Layer3
60	61	1	Layer3	Layer3
61	62	1	Layer3	Layer3
62	63	1	Layer3	Layer3
63	64	1	Layer3	Layer3
64	65	1	Layer3	Layer3
66	67	1	Layer3	Layer3
6	68	1	Layer3	Layer3
68	69	1	Layer3	Layer3
69	70	1	Layer3	Layer3
70	71	1	Layer3	Layer3
71	72	1	Layer3	Layer3
72	73	1	Layer3	Layer3
61	73	1	Layer3	Layer3
74	75	1	Layer3	Layer3
2	75	1	Layer3	Layer3
76	77	1	Layer3	Layer3
77	78	1	Layer3	Layer3
79	80	1	Layer3	Layer3
80	81	1	Layer3	Layer3
81	82	1	Layer3	Layer3
82	83	1	Layer3	Layer3
83	84	1	Layer3	Layer3
84	85	1	Layer3	Layer3
85	86	1	Layer3	Layer3
86	87	1	Layer3	Layer3
87	88	1	Layer3	Layer3
88	89	1	Layer3	Layer3
89	90	1	Layer3	Layer3
43	90	1	Layer3	Layer3
92	93	1	Layer3	Layer3
93	94	1	Layer3	Layer3
94	95	1	Layer3	Layer3
95	96	1	Layer3	Layer3
96	97	1	Layer3	Layer3
97	98	1	Layer3	Layer3
98	99	1	Layer3	Layer3
99	100	1	Layer3	Layer3
100	101	1	Layer3	Layer3
101	102	1	Layer3	Layer3
102	103	1	Layer3	Layer3
103	104	1	Layer3	Layer3
105	106	1	Layer3	Layer3
106	107	1	Layer3	Layer3
107	108	1	Layer3	Layer3
36	109	1	Layer3	Layer3
109	110	1	Layer3	Layer3
110	111	1	Layer3	Layer3
111	112	1	Layer3	Layer3
112	113	1	Layer3	Layer3
113	114	1	Layer3	Layer3
114	115	1	Layer3	Layer3
115	116	1	Layer3	Layer3
116	117	1	Layer3	Layer3
118	119	1	Layer3	Layer3
119	120	1	Layer3	Layer3
120	121	1	Layer3	Layer3
121	122	1	Layer3	Layer3
122	123	1	Layer3	Layer3
123	124	1	Layer3	Layer3
124	125	1	Layer3	Layer3
125	126	1	Layer3	Layer3
126	127	1	Layer3	Layer3
127	128	1	Layer3	Layer3
128	129	1	Layer3	Layer3
129	130	1	Layer3	Layer3
131	132	1	Layer3	Layer3
132	133	1	Layer3	Layer3
133	134	1	Layer3	Layer3
134	135	1	Layer3	Layer3
135	136	1	Layer3	Layer3
136	137	1	Layer3	Layer3
137	138	1	Layer3	Layer3
138	139	1	Layer3	Layer3
139	140	1	Layer3	Layer3
140	141	1	Layer3	Layer3
141	142	1	Layer3	Layer3
142	143	1	Layer3	Layer3
144	145	1	Layer3	Layer3
145	146	1	Layer3	Layer3
146	147	1	Layer3	Layer3
147	148	1	Layer3	Layer3
148	149	1	Layer3	Layer3
149	150	1	Layer3	Layer3
1	150	1	Layer3	Layer3
1	3	1	Layer3	Layer3
1	149	1	Layer3	Layer3
1	96	1	Layer3	Layer3
1	148	1	Layer3	Layer3
1	5	1	Layer3	Layer3
2	150	1	Layer3	Layer3
2	4	1	Layer3	Layer3
2	149	1	Layer3	Layer3
2	5	1	Layer3	Layer3
2	148	1	Layer3	Layer3
2	6	1	Layer3	Layer3
3	5	1	Layer3	Layer3
3	150	1	Layer3	Layer3
3	6	1	Layer3	Layer3
3	149	1	Layer3	Layer3
3	7	1	Layer3	Layer3
4	6	1	Layer3	Layer3
4	150	1	Layer3	Layer3
4	8	1	Layer3	Layer3
5	7	1	Layer3	Layer3
5	8	1	Layer3	Layer3
5	9	1	Layer3	Layer3
6	31	1	Layer3	Layer3
6	9	1	Layer3	Layer3
6	10	1	Layer3	Layer3
7	9	1	Layer3	Layer3
7	10	1	Layer3	Layer3
7	11	1	Layer3	Layer3
8	42	1	Layer3	Layer3
8	12	1	Layer3	Layer3
9	11	1	Layer3	Layer3
9	12	1	Layer3	Layer3
9	13	1	Layer3	Layer3
10	12	1	Layer3	Layer3
10	13	1	Layer3	Layer3
10	14	1	Layer3	Layer3
11	13	1	Layer3	Layer3
11	14	1	Layer3	Layer3
11	15	1	Layer3	Layer3
12	14	1	Layer3	Layer3
12	15	1	Layer3	Layer3
13	15	1	Layer3	Layer3
13	16	1	Layer3	Layer3
13	17	1	Layer3	Layer3
14	16	1	Layer3	Layer3
14	17	1	Layer3	Layer3
14	18	1	Layer3	Layer3
15	17	1	Layer3	Layer3
15	18	1	Layer3	Layer3
15	19	1	Layer3	Layer3
16	18	1	Layer3	Layer3
16	19	1	Layer3	Layer3
16	20	1	Layer3	Layer3
17	20	1	Layer3	Layer3
17	21	1	Layer3	Layer3
18	20	1	Layer3	Layer3
21	107	1	Layer3	Layer3
18	22	1	Layer3	Layer3
19	21	1	Layer3	Layer3
19	22	1	Layer3	Layer3
19	23	1	Layer3	Layer3
20	22	1	Layer3	Layer3
20	23	1	Layer3	Layer3
20	24	1	Layer3	Layer3
21	23	1	Layer3	Layer3
21	25	1	Layer3	Layer3
22	24	1	Layer3	Layer3
22	25	1	Layer3	Layer3
22	26	1	Layer3	Layer3
23	25	1	Layer3	Layer3
23	26	1	Layer3	Layer3
23	27	1	Layer3	Layer3
24	26	1	Layer3	Layer3
24	27	1	Layer3	Layer3
24	28	1	Layer3	Layer3
25	27	1	Layer3	Layer3
25	28	1	Layer3	Layer3
26	28	1	Layer3	Layer3
26	29	1	Layer3	Layer3
26	30	1	Layer3	Layer3
27	29	1	Layer3	Layer3
27	30	1	Layer3	Layer3
27	31	1	Layer3	Layer3
28	30	1	Layer3	Layer3
28	31	1	Layer3	Layer3
28	123	1	Layer3	Layer3
29	31	1	Layer3	Layer3
29	32	1	Layer3	Layer3
29	33	1	Layer3	Layer3
30	33	1	Layer3	Layer3
30	34	1	Layer3	Layer3
31	33	1	Layer3	Layer3
31	34	1	Layer3	Layer3
31	35	1	Layer3	Layer3
32	34	1	Layer3	Layer3
32	35	1	Layer3	Layer3
2	32	1	Layer3	Layer3
33	35	1	Layer3	Layer3
33	36	1	Layer3	Layer3
33	37	1	Layer3	Layer3
34	36	1	Layer3	Layer3
34	38	1	Layer3	Layer3
35	37	1	Layer3	Layer3
35	38	1	Layer3	Layer3
35	39	1	Layer3	Layer3
36	38	1	Layer3	Layer3
36	39	1	Layer3	Layer3
36	54	1	Layer3	Layer3
37	39	1	Layer3	Layer3
37	40	1	Layer3	Layer3
41	53	1	Layer3	Layer3
38	40	1	Layer3	Layer3
38	41	1	Layer3	Layer3
39	41	1	Layer3	Layer3
39	42	1	Layer3	Layer3
39	43	1	Layer3	Layer3
10	42	1	Layer3	Layer3
40	43	1	Layer3	Layer3
40	44	1	Layer3	Layer3
41	43	1	Layer3	Layer3
41	44	1	Layer3	Layer3
41	45	1	Layer3	Layer3
42	54	1	Layer3	Layer3
42	45	1	Layer3	Layer3
42	46	1	Layer3	Layer3
43	46	1	Layer3	Layer3
43	47	1	Layer3	Layer3
44	46	1	Layer3	Layer3
44	47	1	Layer3	Layer3
44	48	1	Layer3	Layer3
45	47	1	Layer3	Layer3
45	48	1	Layer3	Layer3
45	49	1	Layer3	Layer3
46	48	1	Layer3	Layer3
46	49	1	Layer3	Layer3
46	50	1	Layer3	Layer3
47	49	1	Layer3	Layer3
47	51	1	Layer3	Layer3
48	50	1	Layer3	Layer3
48	51	1	Layer3	Layer3
48	52	1	Layer3	Layer3
49	51	1	Layer3	Layer3
49	52	1	Layer3	Layer3
49	129	1	Layer3	Layer3
50	52	1	Layer3	Layer3
50	53	1	Layer3	Layer3
50	54	1	Layer3	Layer3
51	53	1	Layer3	Layer3
51	54	1	Layer3	Layer3
52	54	1	Layer3	Layer3
52	55	1	Layer3	Layer3
52	56	1	Layer3	Layer3
53	55	1	Layer3	Layer3
53	56	1	Layer3	Layer3
53	57	1	Layer3	Layer3
54	56	1	Layer3	Layer3
54	57	1	Layer3	Layer3
54	58	1	Layer3	Layer3
55	57	1	Layer3	Layer3
55	58	1	Layer3	Layer3
55	117	1	Layer3	Layer3
56	59	1	Layer3	Layer3
56	80	1	Layer3	Layer3
57	59	1	Layer3	Layer3
57	60	1	Layer3	Layer3
57	61	1	Layer3	Layer3
58	60	1	Layer3	Layer3
58	61	1	Layer3	Layer3
58	62	1	Layer3	Layer3
59	61	1	Layer3	Layer3
59	62	1	Layer3	Layer3
59	63	1	Layer3	Layer3
60	62	1	Layer3	Layer3
60	64	1	Layer3	Layer3
61	63	1	Layer3	Layer3
61	64	1	Layer3	Layer3
61	65	1	Layer3	Layer3
62	83	1	Layer3	Layer3
62	65	1	Layer3	Layer3
62	66	1	Layer3	Layer3
63	65	1	Layer3	Layer3
63	66	1	Layer3	Layer3
63	67	1	Layer3	Layer3
64	66	1	Layer3	Layer3
64	67	1	Layer3	Layer3
65	67	1	Layer3	Layer3
65	68	1	Layer3	Layer3
65	69	1	Layer3	Layer3
66	68	1	Layer3	Layer3
66	69	1	Layer3	Layer3
66	70	1	Layer3	Layer3
67	69	1	Layer3	Layer3
67	70	1	Layer3	Layer3
67	71	1	Layer3	Layer3
68	70	1	Layer3	Layer3
68	71	1	Layer3	Layer3
68	72	1	Layer3	Layer3
69	72	1	Layer3	Layer3
69	73	1	Layer3	Layer3
70	72	1	Layer3	Layer3
70	73	1	Layer3	Layer3
70	74	1	Layer3	Layer3
71	73	1	Layer3	Layer3
71	74	1	Layer3	Layer3
14	75	1	Layer3	Layer3
72	74	1	Layer3	Layer3
72	75	1	Layer3	Layer3
72	76	1	Layer3	Layer3
73	75	1	Layer3	Layer3
73	77	1	Layer3	Layer3
74	76	1	Layer3	Layer3
74	77	1	Layer3	Layer3
74	78	1	Layer3	Layer3
75	77	1	Layer3	Layer3
75	78	1	Layer3	Layer3
75	79	1	Layer3	Layer3
76	78	1	Layer3	Layer3
76	79	1	Layer3	Layer3
76	80	1	Layer3	Layer3
77	79	1	Layer3	Layer3
77	80	1	Layer3	Layer3
78	80	1	Layer3	Layer3
78	81	1	Layer3	Layer3
78	82	1	Layer3	Layer3
79	81	1	Layer3	Layer3
79	82	1	Layer3	Layer3
79	83	1	Layer3	Layer3
80	82	1	Layer3	Layer3
80	83	1	Layer3	Layer3
80	111	1	Layer3	Layer3
81	83	1	Layer3	Layer3
81	84	1	Layer3	Layer3
81	85	1	Layer3	Layer3
82	85	1	Layer3	Layer3
82	86	1	Layer3	Layer3
85	131	1	Layer3	Layer3
83	86	1	Layer3	Layer3
83	87	1	Layer3	Layer3
84	86	1	Layer3	Layer3
84	87	1	Layer3	Layer3
84	88	1	Layer3	Layer3
85	87	1	Layer3	Layer3
85	88	1	Layer3	Layer3
85	89	1	Layer3	Layer3
86	88	1	Layer3	Layer3
86	90	1	Layer3	Layer3
87	89	1	Layer3	Layer3
87	90	1	Layer3	Layer3
87	91	1	Layer3	Layer3
88	90	1	Layer3	Layer3
88	91	1	Layer3	Layer3
88	92	1	Layer3	Layer3
89	91	1	Layer3	Layer3
89	92	1	Layer3	Layer3
89	93	1	Layer3	Layer3
90	92	1	Layer3	Layer3
90	93	1	Layer3	Layer3
91	93	1	Layer3	Layer3
91	94	1	Layer3	Layer3
91	95	1	Layer3	Layer3
92	94	1	Layer3	Layer3
92	95	1	Layer3	Layer3
92	96	1	Layer3	Layer3
93	95	1	Layer3	Layer3
93	96	1	Layer3	Layer3
93	97	1	Layer3	Layer3
94	96	1	Layer3	Layer3
94	97	1	Layer3	Layer3
94	98	1	Layer3	Layer3
95	98	1	Layer3	Layer3
12	99	1	Layer3	Layer3
96	98	1	Layer3	Layer3
96	99	1	Layer3	Layer3
96	100	1	Layer3	Layer3
97	99	1	Layer3	Layer3
97	100	1	Layer3	Layer3
97	101	1	Layer3	Layer3
98	100	1	Layer3	Layer3
98	101	1	Layer3	Layer3
98	102	1	Layer3	Layer3
99	101	1	Layer3	Layer3
99	103	1	Layer3	Layer3
100	102	1	Layer3	Layer3
100	103	1	Layer3	Layer3
100	104	1	Layer3	Layer3
101	103	1	Layer3	Layer3
101	104	1	Layer3	Layer3
101	105	1	Layer3	Layer3
102	104	1	Layer3	Layer3
102	105	1	Layer3	Layer3
102	106	1	Layer3	Layer3
103	105	1	Layer3	Layer3
103	106	1	Layer3	Layer3
104	106	1	Layer3	Layer3
104	107	1	Layer3	Layer3
104	108	1	Layer3	Layer3
105	107	1	Layer3	Layer3
105	108	1	Layer3	Layer3
105	109	1	Layer3	Layer3
52	108	1	Layer3	Layer3
106	109	1	Layer3	Layer3
106	110	1	Layer3	Layer3
107	109	1	Layer3	Layer3
107	110	1	Layer3	Layer3
107	111	1	Layer3	Layer3
108	111	1	Layer3	Layer3
108	112	1	Layer3	Layer3
109	111	1	Layer3	Layer3
109	112	1	Layer3	Layer3
109	113	1	Layer3	Layer3
110	112	1	Layer3	Layer3
110	113	1	Layer3	Layer3
110	114	1	Layer3	Layer3
111	113	1	Layer3	Layer3
111	114	1	Layer3	Layer3
111	115	1	Layer3	Layer3
112	114	1	Layer3	Layer3
112	116	1	Layer3	Layer3
113	115	1	Layer3	Layer3
113	116	1	Layer3	Layer3
113	117	1	Layer3	Layer3
114	116	1	Layer3	Layer3
114	117	1	Layer3	Layer3
114	118	1	Layer3	Layer3
115	117	1	Layer3	Layer3
115	118	1	Layer3	Layer3
115	119	1	Layer3	Layer3
116	118	1	Layer3	Layer3
116	119	1	Layer3	Layer3
117	119	1	Layer3	Layer3
117	120	1	Layer3	Layer3
121	129	1	Layer3	Layer3
118	120	1	Layer3	Layer3
118	121	1	Layer3	Layer3
118	122	1	Layer3	Layer3
119	121	1	Layer3	Layer3
119	122	1	Layer3	Layer3
119	123	1	Layer3	Layer3
120	122	1	Layer3	Layer3
123	141	1	Layer3	Layer3
120	124	1	Layer3	Layer3
121	124	1	Layer3	Layer3
121	125	1	Layer3	Layer3
122	124	1	Layer3	Layer3
122	125	1	Layer3	Layer3
122	126	1	Layer3	Layer3
123	125	1	Layer3	Layer3
123	126	1	Layer3	Layer3
28	127	1	Layer3	Layer3
124	126	1	Layer3	Layer3
124	127	1	Layer3	Layer3
124	128	1	Layer3	Layer3
125	127	1	Layer3	Layer3
125	129	1	Layer3	Layer3
126	128	1	Layer3	Layer3
126	129	1	Layer3	Layer3
126	130	1	Layer3	Layer3
127	129	1	Layer3	Layer3
127	130	1	Layer3	Layer3
127	131	1	Layer3	Layer3
128	130	1	Layer3	Layer3
128	131	1	Layer3	Layer3
128	132	1	Layer3	Layer3
129	131	1	Layer3	Layer3
129	132	1	Layer3	Layer3
