SCENE_PAN	 	 	 	 	 	 	 	 
-320	10	0.456302989349695	#000000	 	 	 	 	 
REEP6	Proteins	0	-367.170752746585	283.026445752885	0.656862745098039	#ce7d78	 	 
YIF1A	Proteins	0	-355.149502029606	295.445247948862	0.656862745098039	#ce7d78	 	 
RTN4	Proteins	0	-375.868091886637	294.507545451756	0.656862745098039	#ce7d78	 	 
RNA Processing	Process	0	303.497119259996	5.66315393491623	0.813725490196078	#ea9e70	 	 
RPL36	Proteins	0	530.307307779134	22.2352471962988	0.852941176470588	#ce7d78	 	 
DDX21	Proteins	0	548.665754402662	12.5108605199722	0.852941176470588	#ce7d78	 	 
RBM28	Proteins	0	555.831589076539	21.2950147774694	0.852941176470588	#ce7d78	 	 
LARP1	Proteins	0	517.50045048316	50.5378500161802	0.931372549019608	#ce7d78	 	 
PABPC1	Proteins	0	514.989242633928	27.2638039024753	0.852941176470588	#ce7d78	 	 
MOV10	Proteins	0	536.388320687133	8.03132370438527	0.852941176470588	#ce7d78	 	 
PABPC4	Proteins	0	551.861391967435	32.5172587971707	0.852941176470588	#ce7d78	 	 
RRP9	Proteins	0	522.659858536092	11.5167169748157	0.852941176470588	#ce7d78	 	 
UPF1	Proteins	0	536.315038200344	33.0856947372326	0.852941176470588	#ce7d78	 	 
Stress Granule Regulation	Process	0	373.428571428571	17.3726350105388	0.617647058823529	#ea9e70	 	 
G3BP1	Proteins	0	577.764953282702	44.2374098303319	0.656862745098039	#ce7d78	 	 
G3BP2	Proteins	0	594.878743619805	56.1830188341418	0.656862745098039	#ce7d78	 	 
CSNK2B	Proteins	0	580.531979817402	28.5500298861047	0.696078431372549	#ce7d78	 	 
CSNK2A2	Proteins	0	592.187582165297	41.0049085347282	0.735294117647059	#ce7d78	 	 
Protein Kinase A Signaling	Process	0	-75.5636985553991	238.266570144802	0.617647058823529	#ea9e70	 	 
PRKAR2B	Proteins	0	-109.175288020994	433.316720755042	0.656862745098039	#ce7d78	 	 
PRKACA	Proteins	0	-87.6215027212361	423.036070274949	0.696078431372549	#ce7d78	 	 
PRKAR2A	Proteins	0	-88.2556650881357	411.370748866957	0.656862745098039	#ce7d78	 	 
AKAP9	Proteins	0	-102.788822416201	422.638979566628	0.656862745098039	#ce7d78	 	 
Golgi Organization	Process	0	-87.1812144713891	285.373661368043	0.696078431372549	#ea9e70	 	 
GCC2	Proteins	0	-98.9978829718368	457.127045647727	0.735294117647059	#ce7d78	 	 
GOLGA3	Proteins	0	-115.64015638795	459.631256268016	0.735294117647059	#ce7d78	 	 
GOLGB1	Proteins	0	-104.94363441405	481.452580796186	0.735294117647059	#ce7d78	 	 
GOLGA2	Proteins	0	-111.566182575701	471.61007649165	0.735294117647059	#ce7d78	 	 
GORASP1	Proteins	0	-94.7215118620519	470.209404586267	0.735294117647059	#ce7d78	 	 
GCC1	Proteins	0	-113.154127728516	448.954997698989	0.735294117647059	#ce7d78	 	 
Transcriptional Regulation	Process	0	-38.9917352931472	221.494463051403	0.57843137254902	#ea9e70	 	 
TLE3	Proteins	0	-44.5763766099768	405.337026627258	0.617647058823529	#ce7d78	 	 
TLE5	Proteins	0	-74.3522214282724	407.398117883663	0.617647058823529	#ce7d78	 	 
TLE1	Proteins	0	-60.2607190118149	404.605830937207	0.617647058823529	#ce7d78	 	 
Ion Transport	Process	0	-140.891625954923	-160.985040631526	0.57843137254902	#ea9e70	 	 
ATP5MG	Proteins	0	-265.34548120967	-247.712800622013	0.617647058823529	#ce7d78	 	 
ATP6AP1	Proteins	0	-272.703124762444	-261.004961806144	0.656862745098039	#ce7d78	 	 
ATP13A3	Proteins	0	-276.524505160043	-276.681919672982	0.617647058823529	#ce7d78	 	 
Electron Transport	Process	0	-281.357450941624	-104.433829539771	0.735294117647059	#ea9e70	 	 
CYB5B	Proteins	0	-465.880314982921	-142.655311790229	0.617647058823529	#ce7d78	 	 
CYB5R3	Proteins	0	-450.66198267947	-140.423723595159	0.617647058823529	#ce7d78	 	 
NDUFAF2	Proteins	0	-430.827863675147	-148.665536372635	0.656862745098039	#ce7d78	 	 
Membrane Trafficking	Process	0	-281.379095296322	-37.275576611509	0.852941176470588	#ea9e70	 	 
LMAN2	Proteins	0	-443.828559591952	-104.055387340652	0.892156862745098	#ce7d78	 	 
RAB10	Proteins	0	-446.622346759287	-90.9277044465318	0.892156862745098	#ce7d78	 	 
RAB14	Proteins	0	-454.323648099084	-80.8464589082471	0.892156862745098	#ce7d78	 	 
RAB18	Proteins	0	-431.363204963064	-74.9803451870114	0.892156862745098	#ce7d78	 	 
RAB1A	Proteins	0	-427.662843110657	-84.860463512996	0.892156862745098	#ce7d78	 	 
RAB2A	Proteins	0	-464.628689892676	-87.7700448420474	0.892156862745098	#ce7d78	 	 
RAB5C	Proteins	0	-431.368360415923	-95.8264601920167	0.892156862745098	#ce7d78	 	 
RAB7A	Proteins	0	-457.960558672584	-103.493534102888	0.892156862745098	#ce7d78	 	 
RAB8A	Proteins	0	-467.860919927804	-96.9702593887153	0.892156862745098	#ce7d78	 	 
RALA	Proteins	0	-442.689685127337	-75.7685663541736	0.892156862745098	#ce7d78	 	 
GPCR Signaling	Process	0	-314.049742607661	-67.6077115450554	0.57843137254902	#ea9e70	 	 
GNB1	Proteins	0	-481.560432117879	-119.4398806409	0.617647058823529	#ce7d78	 	 
GNG5	Proteins	0	-482.086654603268	-131.142381145831	0.617647058823529	#ce7d78	 	 
RHOA	Proteins	0	-480.670695151708	-108.025764939712	0.617647058823529	#ce7d78	 	 
Protein Palmitoylation	Process	0	17.6757945244331	92.8509209439912	0.53921568627451	#ea9e70	 	 
ZDHHC5	Proteins	0	-10.3948850908191	156.738953521533	0.57843137254902	#ce7d78	 	 
GOLGA7	Proteins	0	6.55540572501468	128.055688405406	0.57843137254902	#ce7d78	 	 
ECM Organization	Process	0	241.883961786414	98.8337928147794	0.656862745098039	#ea9e70	 	 
ADAM9	Proteins	0	449.300994587501	142.732525480725	0.696078431372549	#ce7d78	 	 
ITGB1	Proteins	0	448.838976824985	163.187171805305	0.696078431372549	#ce7d78	 	 
COL6A1	Proteins	0	440.264759360571	156.376101444061	0.696078431372549	#ce7d78	 	 
PLOD2	Proteins	0	434.427170764423	145.466839004728	0.735294117647059	#ce7d78	 	 
LOX	Proteins	0	435.252056344603	134.560998339563	0.735294117647059	#ce7d78	 	 
Glycosaminoglycan Synthesis	Process	0	270.665346009403	126.107380464878	0.57843137254902	#ea9e70	 	 
HS6ST2	Proteins	0	481.98971486617	181.599242183661	0.617647058823529	#ce7d78	 	 
CHPF2	Proteins	0	468.038123353709	177.777408179699	0.617647058823529	#ce7d78	 	 
CHPF	Proteins	0	455.862889665885	171.642540741826	0.617647058823529	#ce7d78	 	 
Glycosylation	Process	0	313.072521804198	128.808368185972	0.57843137254902	#ea9e70	 	 
POFUT1	Proteins	0	494.875602587626	183.073957919414	0.617647058823529	#ce7d78	 	 
POGLUT3	Proteins	0	509.071683000104	180.461266768569	0.617647058823529	#ce7d78	 	 
POGLUT2	Proteins	0	522.004921529244	176.810239077146	0.617647058823529	#ce7d78	 	 
ER Protein Quality Control	Process	0	342.236314379265	99.9919814076154	0.892156862745098	#ea9e70	 	 
EDEM3	Proteins	0	526.994094037736	135.588444284073	0.931372549019608	#ce7d78	 	 
ERLEC1	Proteins	0	538.602061856801	164.871996485496	0.931372549019608	#ce7d78	 	 
OS9	Proteins	0	519.333219090764	156.20557564845	0.931372549019608	#ce7d78	 	 
ERO1B	Proteins	0	540.495625594707	131.508990712784	0.931372549019608	#ce7d78	 	 
FOXRED2	Proteins	0	519.288646482282	144.8173742838	0.931372549019608	#ce7d78	 	 
HYOU1	Proteins	0	550.324384287899	145.560302232787	0.931372549019608	#ce7d78	 	 
NGLY1	Proteins	0	533.058644388771	155.072053395553	0.931372549019608	#ce7d78	 	 
SDF2	Proteins	0	549.613290067353	136.048683573119	0.931372549019608	#ce7d78	 	 
SIL1	Proteins	0	527.411731499372	165.925142809739	0.931372549019608	#ce7d78	 	 
TOR1A	Proteins	0	545.981828861719	155.292263187153	0.931372549019608	#ce7d78	 	 
UGGT2	Proteins	0	537.478617779622	143.348153935926	0.931372549019608	#ce7d78	 	 
MAPK Kinase Signaling	Process	0	53.3856993993065	307.198049910686	0.57843137254902	#ea9e70	 	 
MARK2	Proteins	0	89.5585208178038	483.391041745186	0.696078431372549	#ce7d78	 	 
MARK3	Proteins	0	69.880529527792	470.498172756127	0.735294117647059	#ce7d78	 	 
MARK1	Proteins	0	107.475105920137	483.420436358315	0.617647058823529	#ce7d78	 	 
NDUFB9	Proteins	0	-418.422112463999	-182.217111607763	0.696078431372549	#ce7d78	 	 
ECSIT	Proteins	0	-437.357188635681	-199.590972205297	0.656862745098039	#ce7d78	 	 
NDUFAF1	Proteins	0	-431.293687571348	-183.099451507142	0.696078431372549	#ce7d78	 	 
ACAD9	Proteins	0	-451.615270871378	-200.742625134734	0.656862745098039	#ce7d78	 	 
AATF	Proteins	0	74.4401519458443	-100.097118981465	0.57843137254902	#ce7d78	 	 
NGDN	Proteins	0	52.2870522764698	-83.2889642162663	0.57843137254902	#ce7d78	 	 
NOL10	Proteins	0	48.0402076849957	-105.09345999616	0.57843137254902	#ce7d78	 	 
AP2A2	Proteins	0	2.29888772919776	-360.551887277362	0.53921568627451	#ce7d78	 	 
GIGYF2	Proteins	0	333.333932874495	163.60180565022	1	#FF5FD3	 	 
EIF4E2	Proteins	0	324.36336234906	218.27476704029	2	#FF5FD3	 	 
PLEKHA5	Proteins	0	324.440941598011	434.320548051466	0.53921568627451	#ce7d78	 	 
PDZD11	Proteins	0	328.927642517264	412.984190671586	0.53921568627451	#ce7d78	 	 
PPIL3	Proteins	0	296.093954494118	454.664455588963	0.53921568627451	#ce7d78	 	 
SLU7	Proteins	0	302.599900380758	476.186336439277	0.53921568627451	#ce7d78	 	 
SLC25A1	Proteins	0	-409.578154313723	240.458193036575	0.53921568627451	#ce7d78	 	 
TBK1	Proteins	0	0.300456722668969	452.09064421876	0.57843137254902	#ce7d78	 	 
TBKBP1	Proteins	0	-12.3586537657732	434.699746770833	0.53921568627451	#ce7d78	 	 
UBAP2L	Proteins	0	332.302304824552	479.280732376643	0.53921568627451	#ce7d78	 	 
UBAP2	Proteins	0	313.429916435239	461.961562451021	0.53921568627451	#ce7d78	 	 
WASHC4	Proteins	0	298.817338816829	264.62426567035	1	#FF5FD3	 	 
FKBP15	Proteins	0	260.585012785303	295.594010533227	1	#FF5FD3	 	 
ZNF503	Proteins	0	215.486909315885	306.469138714982	1	#FF5FD3	 	 
DCAF7	Proteins	0	170.388805846466	295.594010533227	1	#FF5FD3	 	 
E	SARS-CoV-2	0	-98.2206342092521	-328.635765761762	0.931372549019608	#a48a9e	 	 
AP3B1	Proteins	0	-148.322111332062	-432.224662243915	0.5	#ce7d78	 	 
BRD4	Proteins	0	-123.370986522149	-477.442424632506	0.735294117647059	#ce7d78	 	 
BRD2	Proteins	0	-117.105016564371	-484.969617734118	0.735294117647059	#ce7d78	 	 
CWC27	Proteins	0	-175.936276579244	-449.224324999739	0.5	#ce7d78	 	 
ZC3H18	Proteins	0	-95.1510940338563	-502.617937137204	0.5	#ce7d78	 	 
SLC44A2	Proteins	0	-187.544985167499	-473.973971134359	0.5	#ce7d78	 	 
M	SARS-CoV-2	0	-280.52310530139	225.393818982515	1.67647058823529	#a48a9e	 	 
ETFA	Proteins	0	-407.636017325896	364.458226663561	0.5	#ce7d78	 	 
STOM	Proteins	0	-421.908060433098	363.474644045083	0.5	#ce7d78	 	 
GGCX	Proteins	0	-374.71560787637	311.173559252303	0.5	#ce7d78	 	 
ATP6V1A	Proteins	0	-351.418019654623	308.747731792381	0.5	#ce7d78	 	 
PSMD8	Proteins	0	-419.896910432649	344.219993038583	0.5	#ce7d78	 	 
ANO6	Proteins	0	-443.45121634176	349.241389657391	0.5	#ce7d78	 	 
FASTKD5	Proteins	0	-367.26983851619	329.629776256961	0.5	#ce7d78	 	 
SAAL1	Proteins	0	-368.077084755641	355.515130933182	0.5	#ce7d78	 	 
INTS4	Proteins	0	-381.362556204618	360.556141755426	0.5	#ce7d78	 	 
SLC25A21	Proteins	0	-433.888786054469	357.194201931083	0.5	#ce7d78	 	 
TARS2	Proteins	0	-399.841012593446	349.034905408098	0.5	#ce7d78	 	 
FAM8A1	Proteins	0	-413.726297854079	293.104194283044	0.5	#ce7d78	 	 
AKAP8L	Proteins	0	-351.685303803073	319.987001218282	0.5	#ce7d78	 	 
AAR2	Proteins	0	-379.316786820867	341.412256624899	0.5	#ce7d78	 	 
BZW2	Proteins	0	-397.234993967271	294.012281687698	0.5	#ce7d78	 	 
N	SARS-CoV-2	0	376.763039772526	36.747769079395	1.20588235294118	#a48a9e	 	 
FAM98A	Proteins	0	483.581167020747	23.5991228082337	0.5	#ce7d78	 	 
SNIP1	Proteins	0	494.680046896879	15.8875272053517	0.5	#ce7d78	 	 
Spike	SARS-CoV-2	0	-23.4083406152441	90.8640337999303	0.53921568627451	#a48a9e	 	 
Nsp1	SARS-CoV-2	0	0.0274250926631567	-349.167904731671	0.696078431372549	#a48a9e	 	 
COLGALT1	Proteins	0	-20.1008578946189	-468.391184086936	0.5	#ce7d78	 	 
PKP2	Proteins	0	-36.7468317547999	-513.996790987194	0.5	#ce7d78	 	 
Nsp10	SARS-CoV-2	0	-5.57012073182718	-275.699188483565	0.656862745098039	#a48a9e	 	 
GFER	Proteins	0	-38.7677538878095	-417.665372014517	0.5	#ce7d78	 	 
ERGIC1	Proteins	0	7.53584195715348	-428.04996875888	0.5	#ce7d78	 	 
GRPEL1	Proteins	0	-46.1227759081478	-376.665987411726	0.5	#ce7d78	 	 
Nsp11	SARS-CoV-2	0	-57.100623544602	111.370033305446	0.5	#a48a9e	 	 
TBCA	Proteins	0	-119.859702647995	160.461096635769	0.5	#ce7d78	 	 
Nsp12	SARS-CoV-2	0	243.45760269277	316.717357375854	1.2843137254902	#a48a9e	 	 
SBNO1	Proteins	0	385.261808987156	422.013717850095	0.5	#ce7d78	 	 
BCKDK	Proteins	0	400.823583530995	451.691506464814	0.5	#ce7d78	 	 
AKAP8	Proteins	0	366.345978915116	411.604293634637	0.5	#ce7d78	 	 
MYCBP2	Proteins	0	346.016140037151	411.398451139373	0.5	#ce7d78	 	 
RIPK1	Proteins	0	359.927630084835	494.020384317576	0.53921568627451	#ce7d78	 	 
TYSND1	Proteins	0	393.761058343121	469.282087017444	0.5	#ce7d78	 	 
PRRC2B	Proteins	0	394.894578877255	435.435296109921	0.5	#ce7d78	 	 
ZNF318	Proteins	0	380.83453107993	453.522091776951	0.5	#ce7d78	 	 
CRTC3	Proteins	0	310.334208283153	421.705550462022	0.5	#ce7d78	 	 
USP54	Proteins	0	317.12957096872	489.425082584499	0.5	#ce7d78	 	 
ZC3H7A	Proteins	0	339.885803122017	495.592732460728	0.5	#ce7d78	 	 
LARP4B	Proteins	0	300.538229401522	438.127088051989	0.5	#ce7d78	 	 
RBM41	Proteins	0	363.608077280329	428.919084644151	0.5	#ce7d78	 	 
TCF12	Proteins	0	363.836428487764	478.323762718632	0.5	#ce7d78	 	 
Nsp13	SARS-CoV-2	0	-41.6807173815987	317.591188418981	2.14705882352941	#a48a9e	 	 
CIT	Proteins	0	-84.3783639943439	450.217631629388	0.5	#ce7d78	 	 
HSBP1	Proteins	0	-34.3889476916313	448.594096114038	0.5	#ce7d78	 	 
RDX	Proteins	0	-33.0117847207902	413.706463899547	0.5	#ce7d78	 	 
GRIPAP1	Proteins	0	-95.2181282227435	487.688092895446	0.5	#ce7d78	 	 
PDE4DIP	Proteins	0	-15.2057082072766	479.591082569204	0.5	#ce7d78	 	 
ERC1	Proteins	0	-23.6002338242314	421.357406823735	0.5	#ce7d78	 	 
CLIP4	Proteins	0	-78.7092142071605	435.173794178703	0.5	#ce7d78	 	 
MIPOL1	Proteins	0	-26.7374679277899	434.964211340376	0.5	#ce7d78	 	 
USP13	Proteins	0	-20.8474240865194	460.912925233481	0.5	#ce7d78	 	 
JAKMIP1	Proteins	0	-55.0768931364339	432.974576409869	0.5	#ce7d78	 	 
FYCO1	Proteins	0	-38.8819518637434	425.87600556378	0.5	#ce7d78	 	 
C1orf50	Proteins	0	-68.9436436838647	420.747138646575	0.5	#ce7d78	 	 
HOOK1	Proteins	0	-18.3182143345966	449.207685625158	0.5	#ce7d78	 	 
Nsp14	SARS-CoV-2	0	84.7002822581608	-319.829715269581	0.774509803921569	#a48a9e	 	 
GLA	Proteins	0	163.202106779228	-458.653948944807	0.53921568627451	#ce7d78	 	 
IMPDH2	Proteins	0	89.0236425394664	-453.263250420261	0.656862745098039	#ce7d78	 	 
SIRT5	Proteins	0	143.906871961414	-490.053647141644	0.5	#ce7d78	 	 
Nsp15	SARS-CoV-2	0	163.259530251616	-261.678098731036	0.57843137254902	#a48a9e	 	 
NUTF2	Proteins	0	197.50435332188	-390.249061291408	0.5	#ce7d78	 	 
ARF6	Proteins	0	223.20112621567	-341.378423347084	0.5	#ce7d78	 	 
RNF41	Proteins	0	271.37959663213	-385.362060140618	0.5	#ce7d78	 	 
Nsp2	SARS-CoV-2	0	410.840500240688	370.594755730474	2	#FF5FD3	 	 
SLC27A2	Proteins	0	132.15647981494	264.624265670351	1	#FF5FD3	 	 
POR	Proteins	0	106.610456282709	218.27476704029	1	#FF5FD3	 	 
RAP1GDS1	Proteins	0	97.6398857572741	163.601805650221	1	#FF5FD3	 	 
Nsp4	SARS-CoV-2	0	314.195913023938	-203.564154448407	0.813725490196078	#a48a9e	 	 
IDE	Proteins	0	414.781375337405	-316.786588792574	0.5	#ce7d78	 	 
ALG11	Proteins	0	432.432562686359	-325.728544947413	0.5	#ce7d78	 	 
NUP210	Proteins	0	469.776882418863	-268.028067882507	0.53921568627451	#ce7d78	 	 
DNAJC11	Proteins	0	404.410905044407	-302.941522875737	0.5	#ce7d78	 	 
Nsp5	SARS-CoV-2	0	150.458887572598	-323.969403261315	0.656862745098039	#a48a9e	 	 
HDAC2	Proteins	0	213.320378994989	-496.09125117556	0.57843137254902	#ce7d78	 	 
GPX1	Proteins	0	192.483718867179	-432.770797683354	0.5	#ce7d78	 	 
TRMT1	Proteins	0	244.84363327913	-437.862073396695	0.5	#ce7d78	 	 
Nsp6	SARS-CoV-2	0	-220.382791122305	-182.007287322545	0.931372549019608	#a48a9e	 	 
SIGMAR1	Proteins	0	-333.441501748581	-265.28437363021	0.735294117647059	#ce7d78	 	 
Nsp7	SARS-CoV-2	0	-295.686571877017	-81.6490142869849	1.83333333333333	#a48a9e	 	 
AGPS	Proteins	0	-386.585807108265	-95.9696064547815	0.5	#ce7d78	 	 
ACSL3	Proteins	0	-403.939294897436	-89.4049793052337	0.5	#ce7d78	 	 
COMT	Proteins	0	-400.163929297257	-106.421684127244	0.53921568627451	#ce7d78	 	 
MOGS	Proteins	0	-370.308645129474	-121.758322126398	0.5	#ce7d78	 	 
TOR1AIP1	Proteins	0	-387.888293116206	-80.1023408303927	0.5	#ce7d78	 	 
MTARC1	Proteins	0	-410.471141115308	-73.9260860245814	0.5	#ce7d78	 	 
QSOX2	Proteins	0	-381.909172976778	-110.802122949497	0.5	#ce7d78	 	 
HS2ST1	Proteins	0	-381.910097455948	-125.912210451116	0.5	#ce7d78	 	 
SCCPDH	Proteins	0	-398.902804864123	-75.6826325962603	0.5	#ce7d78	 	 
SCARB1	Proteins	0	-459.972717795719	-122.43180793387	0.5	#ce7d78	 	 
